,name,description,KVK number,business type,Hoofdvestiging,Vestigingsnummer,Rechtspersoon,Adres,Handelsnaam
KVK-nummer: 68668368,Virtue Project,"Ontwikkeling van websites. Fotografie en productie van video. Online verkoop van kleding, tassen en accessoires.",68668368,Eenmanszaak,Hoofdvestiging,000037086502,,"Molukkenstraat 411, 1095BJ Amsterdam",Virtue ProjectFolta
KVK-nummer: 88072126,Dr. NvdH,Werken als arts binnen verschillende specialismen.,88072126,Eenmanszaak,Hoofdvestiging,000053957350,,"Molukkenstraat 415, 1095BJ Amsterdam",Dr. NvdH
KVK-nummer: 73471798,Baig Taxi,Personenvervoer. Verkopen via webshop (kleding en mode-artikelen.),73471798,Eenmanszaak,Hoofdvestiging,000041508874,,"Molukkenstraat 423, 1095BJ Amsterdam",Baig TaxiBaig DienstenMaryam-Mayram
KVK-nummer: 64982580,Mirza Taxi,Taxibedrijf,64982580,Eenmanszaak,Hoofdvestiging,000033746621,,"Molukkenstraat 423, 1095BJ Amsterdam",Mirza Taxi
KVK-nummer: 69305021,Mams Beheer B.V.,"Het al dan niet tezamen met anderen verwerven en vervreemden van deelnemingen of andere belangen - al dan niet buitenlandse - in rechtspersonen, vennootschap…Toon meer",69305021,Besloten Vennootschap,Hoofdvestiging,000037663569,,"Molukkenstraat 425, 1095BJ Amsterdam",Mams Beheer B.V.
KVK-nummer: 69335478,Mams Consultancy B.V.,"Het verlenen van voorkomende consultancy diensten ten aanzien van proces- en projectmanagement op het gebied van infrastructurele en bouwkundige projecten, als…Toon meer",69335478,Besloten Vennootschap,Hoofdvestiging,000037692917,,"Molukkenstraat 425, 1095BJ Amsterdam",Mams Consultancy B.V.
KVK-nummer: 72956267,Dokter Electro,Het verrichten van elektrotechnische werkzaamheden alsmede de verkoop van elektrotechnische artikelen.,72956267,Eenmanszaak,Hoofdvestiging,000041034058,,"Molukkenstraat 429, 1095BJ Amsterdam",Dokter Electro
KVK-nummer: 34347703,Rob van de Werdt,"Beoefening, productie en organisatie van scheppende en beeldende kunst",34347703,Eenmanszaak,Hoofdvestiging,000011110279,,"Zeeburgerpad 53, 1019AB Amsterdam",Rob van de Werdt
KVK-nummer: 85767093,Nuka Klussenbedrijf,Klussenbedrijf. Opruimen bouwplaatsen na de bouw. Vevoer per taxi.,85767093,Eenmanszaak,Hoofdvestiging,000051792362,,"Molukkenstraat 453, 1095BJ Amsterdam",Nuka Klussenbedrijf
KVK-nummer: 80880479,EL Dienstverlening,"Bezorgen van eten en drinken. Verpleging, verzorging en begeleiding met overnachting",80880479,Eenmanszaak,Hoofdvestiging,000047212683,,"Molukkenstraat 469, 1095BJ Amsterdam",EL Dienstverlening
KVK-nummer: 76327825,XAIVE,"Performance artiest, zangeres, danseres, het geven van dansworkshops, het maken van choreografie, modellenwerk en visueel artiest.",76327825,Eenmanszaak,Hoofdvestiging,000044143885,,"Molukkenstraat 481, 1095BJ Amsterdam",XAIVE
KVK-nummer: 59543264,Lighthouse Touring,Het begeleiden van artiesten bij muziekoptredens (toursupport),59543264,Eenmanszaak,Hoofdvestiging,000028832299,,"Molukkenstraat 489, 1095BJ Amsterdam",Lighthouse TouringCapital S Producties
KVK-nummer: 85303240,Annick van der Weijde,"Grafisch ontwerp, modestyling en content creation met behulp van fotografie.",85303240,Eenmanszaak,Hoofdvestiging,000051355159,,"Molukkenstraat 489, 1095BJ Amsterdam",Annick van der Weijde
KVK-nummer: 30271729,Jansen creaties,Beoefening van scheppende kunst,30271729,Eenmanszaak,Hoofdvestiging,000010180494,,"Molukkenstraat 501, 1095BJ Amsterdam",Jansen creaties
KVK-nummer: 83332650,M Music,Muzikant. Schrijver. Het verrichten van advieswerkzaamheden met betrekking tot en het begeleiden bij het tot stand brengen en het sluiten van overeenkomst…Toon meer,83332650,Eenmanszaak,Hoofdvestiging,000049505521,,"Molukkenstraat 509, 1095BJ Amsterdam",M MusicIMR consulting
KVK-nummer: 66169909,Jan Franzen,"Audio-visuele producties, componist podiumkunst, uitvoerend muzikant.",66169909,Eenmanszaak,Hoofdvestiging,000034817921,,"Molukkenstraat 525, 1095BJ Amsterdam",Jan FranzenRain Kid
