Woonplaats,Adres,Woning,Doelgroep,Publicatiedatum,Reacties,Verantwoording,Publicatiemodel
Amsterdam,Erich Salomonstraat 141 P,Portiekwoning - 1 kamers,Jongeren,01-08-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Weesp,Keulsevaartstraat 337,Galerijflat - 3 kamers,Gezin,29-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Weesp,Meidoorneiland 206,Galerijflat - 3 kamers,Gezin,29-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,C. van Eesterenlaan 638,Portiekwoning - 2 kamers,Zorg,25-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Middenweg 352,Bovenwoning - 4 kamers,Gezin,25-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,John Lennonstraat 158,Corridorflat - 3 kamers,Senioren,25-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Nedersticht 306,Galerijflat - 3 kamers,Gezin,25-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Zeeburgerdijk 107-A,Benedenwoning - 2 kamers,Gezin,25-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Smeenklaan 83,Benedenwoning - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Vurehout 179,Galerijflat - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,John Lennonstraat 160,Corridorflat - 3 kamers,Senioren,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Diemen,Muiderstraatweg 39,Portiekwoning - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Amerbos 534 HS,Corridorflat - 3 kamers,Senioren,24-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Bergblauwstraat 192,Galerijflat - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Rustenburgerstraat 245 -H,Benedenwoning - 2 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tussen Meer 189,Galerijflat - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Diemen,van Markenplantsoen 58,Benedenwoning - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bos en Lommerweg 252 N,Galerijflat - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Joke Smitlaan 122,Corridorflat - 3 kamers,Gezin,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ottho Heldringstraat 15 R,Portiekwoning - 3 kamers,Senioren,24-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Hellebaardier 8,Tussenwoning - 4 kamers,Gezin,23-04-2024,3 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Kraijenhoffstraat 165 1,Portiekwoning - 2 kamers,Gezin,23-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Zeeburgerdijk 109-C,Bovenwoning - 3 kamers,Gezin,23-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Zeeburgerdijk 101-B,Maisonnette - 3 kamers,Gezin,23-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bernard Loderstraat 45-C,Galerijflat - 2 kamers,Gezin,22-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wibautstraat 31 A,Portiekflat - 2 kamers,Gezin,22-04-2024,15 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Marnixstraat 171 -C,Portiekflat - 3 kamers,Gezin,22-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Kudelstaart,Midvoordreef 58,Portiekwoning - 3 kamers,Gezin,22-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Jhr.Mr.Dr. H.A. van Karnebeeklaan 1,Galerijflat - 2 kamers,Gezin,22-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Lindepark 80 UNIT 4,Corridorflat - 2 kamers,Senioren,22-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Landbouwstraat 33,Bovenwoning - 3 kamers,Gezin,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Landbouwstraat 21-H,Benedenwoning - 2 kamers,Gezin,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Van der Hooplaan 72,Bovenwoning - 3 kamers,Persoon,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Martinus Nijhoffstraat 23 2,Portiekwoning - 2 kamers,Gezin,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
