Datum;Omschrijving;Debet;Credit;Referentie
01-07-2023;"VF:1 - VvE-bijdrage jul-2023; A-129 - Molukkenstraat 429 (Woning met berging)";;€20,27;
01-07-2023;"VF:2 - VvE-bijdrage jul-2023; A-135 - Tidorestraat 78 (Woning met berging)";;€20,27;
01-07-2023;"VF:3 - VvE-bijdrage jul-2023; A-012 - Tidorestraat 58 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:4 - VvE-bijdrage jul-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€20,27;
01-07-2023;"VF:5 - VvE-bijdrage jul-2023; A-125 - Molukkenstraat 455 (Woning met berging)";;€20,27;
01-07-2023;"VF:6 - VvE-bijdrage jul-2023; A-127 - Molukkenstraat 443 (Woning met berging)";;€20,27;
01-07-2023;"VF:7 - VvE-bijdrage jul-2023; A-083 - Molukkenstraat 423 (Woning met berging)";;€20,27;
01-07-2023;"VF:8 - VvE-bijdrage jul-2023; A-126 - Molukkenstraat 453 (Woning met berging)";;€20,27;
01-07-2023;"VF:9 - VvE-bijdrage jul-2023; A-009 - Molukkenstraat 447 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:10 - VvE-bijdrage jul-2023; A-070 - Sumatrastraat 223-B (Woning met berging)";;€20,27;
01-07-2023;"VF:11 - VvE-bijdrage jul-2023; A-059 - Sumatraplantsoen 26-B (Woning met berging)";;€20,27;
01-07-2023;"VF:12 - VvE-bijdrage jul-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€20,27;
01-07-2023;"VF:13 - VvE-bijdrage jul-2023; A-052 - Tidorestraat 102 (Woning met berging)";;€20,27;
01-07-2023;"VF:14 - VvE-bijdrage jul-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-001 - Sumatrastraat 221-A (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-002 - Sumatrastraat 219-A (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-005 - Molukkenstraat 483 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-006 - Molukkenstraat 473 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-007 - Molukkenstraat 465 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-008 - Molukkenstraat 457 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-014 - Tidorestraat 70 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-015 - Tidorestraat 80 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-017 - Tidorestraat 100 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-018 - Tidorestraat 114 (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-020 - Sumatraplantsoen 20-A (Woning met berging)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-024 - Sumatraplantsoen 28-A (Woning met berging en tuin)";;€20,27;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-025 - Sumatraplantsoen 32-A (Woning met berging en tuin)";;€20,27;
