Datum;Omschrijving;Debet;Credit;Referentie
01-07-2023;"VF:4 - VvE-bijdrage jul-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-07-2023;"VF:79 - VvE-bijdrage jul-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-07-2023;"VF:14 - VvE-bijdrage jul-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-07-2023;"VF:15 - VvE-bijdrage jul-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-07-2023;"VF:21 - VvE-bijdrage jul-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-07-2023;"VF:27 - VvE-bijdrage jul-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-07-2023;"VF:33 - VvE-bijdrage jul-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-07-2023;"VF:38 - VvE-bijdrage jul-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-07-2023;"VF:52 - VvE-bijdrage jul-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-07-2023;"VF:53 - VvE-bijdrage jul-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-07-2023;"VF:54 - VvE-bijdrage jul-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-07-2023;"VF:57 - VvE-bijdrage jul-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-07-2023;"VF:62 - VvE-bijdrage jul-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-07-2023;"VF:63 - VvE-bijdrage jul-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-07-2023;"VF:71 - VvE-bijdrage jul-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-07-2023;"VF:73 - VvE-bijdrage jul-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-07-2023;"VF:74 - VvE-bijdrage jul-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-07-2023;"VF:12 - VvE-bijdrage jul-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-08-2023;"VF:87 - VvE-bijdrage aug-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-08-2023;"VF:162 - VvE-bijdrage aug-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-08-2023;"VF:97 - VvE-bijdrage aug-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-08-2023;"VF:98 - VvE-bijdrage aug-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-08-2023;"VF:104 - VvE-bijdrage aug-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-08-2023;"VF:110 - VvE-bijdrage aug-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-08-2023;"VF:116 - VvE-bijdrage aug-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-08-2023;"VF:121 - VvE-bijdrage aug-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-08-2023;"VF:135 - VvE-bijdrage aug-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-08-2023;"VF:136 - VvE-bijdrage aug-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-08-2023;"VF:137 - VvE-bijdrage aug-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-08-2023;"VF:140 - VvE-bijdrage aug-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-08-2023;"VF:145 - VvE-bijdrage aug-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-08-2023;"VF:146 - VvE-bijdrage aug-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-08-2023;"VF:154 - VvE-bijdrage aug-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-08-2023;"VF:156 - VvE-bijdrage aug-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-08-2023;"VF:157 - VvE-bijdrage aug-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-08-2023;"VF:95 - VvE-bijdrage aug-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-09-2023;"VF:170 - VvE-bijdrage sep-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-09-2023;"VF:245 - VvE-bijdrage sep-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-09-2023;"VF:180 - VvE-bijdrage sep-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-09-2023;"VF:181 - VvE-bijdrage sep-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-09-2023;"VF:187 - VvE-bijdrage sep-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-09-2023;"VF:193 - VvE-bijdrage sep-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-09-2023;"VF:199 - VvE-bijdrage sep-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-09-2023;"VF:204 - VvE-bijdrage sep-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-09-2023;"VF:218 - VvE-bijdrage sep-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-09-2023;"VF:219 - VvE-bijdrage sep-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-09-2023;"VF:220 - VvE-bijdrage sep-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-09-2023;"VF:223 - VvE-bijdrage sep-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-09-2023;"VF:228 - VvE-bijdrage sep-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-09-2023;"VF:229 - VvE-bijdrage sep-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-09-2023;"VF:237 - VvE-bijdrage sep-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-09-2023;"VF:239 - VvE-bijdrage sep-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-09-2023;"VF:240 - VvE-bijdrage sep-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-09-2023;"VF:178 - VvE-bijdrage sep-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-10-2023;"VF:254 - VvE-bijdrage okt-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-10-2023;"VF:262 - VvE-bijdrage okt-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-10-2023;"VF:264 - VvE-bijdrage okt-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-10-2023;"VF:265 - VvE-bijdrage okt-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-10-2023;"VF:271 - VvE-bijdrage okt-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-10-2023;"VF:277 - VvE-bijdrage okt-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-10-2023;"VF:283 - VvE-bijdrage okt-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-10-2023;"VF:288 - VvE-bijdrage okt-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-10-2023;"VF:302 - VvE-bijdrage okt-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-10-2023;"VF:303 - VvE-bijdrage okt-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-10-2023;"VF:304 - VvE-bijdrage okt-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-10-2023;"VF:307 - VvE-bijdrage okt-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-10-2023;"VF:311 - VvE-bijdrage okt-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-10-2023;"VF:312 - VvE-bijdrage okt-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-10-2023;"VF:320 - VvE-bijdrage okt-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-10-2023;"VF:322 - VvE-bijdrage okt-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-10-2023;"VF:323 - VvE-bijdrage okt-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-10-2023;"VF:328 - VvE-bijdrage okt-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-11-2023;"VF:355 - VvE-bijdrage nov-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-11-2023;"VF:363 - VvE-bijdrage nov-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-11-2023;"VF:433 - VvE-bijdrage nov-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-11-2023;"VF:428 - VvE-bijdrage nov-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-11-2023;"VF:423 - VvE-bijdrage nov-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-11-2023;"VF:422 - VvE-bijdrage nov-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-11-2023;"VF:420 - VvE-bijdrage nov-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
